country,year,pop,continent,gdpPercap,lifeExp
00000205539,2019-11,14500000,cz,15,1.204819
00000205539,2020-02,15700000,cz,12,2.214699
00000205544,2019-03,600000,cz,6,0.089166
00000205544,2019-04,1000000,cz,4,0.139237
00000205544,2019-05,1300000,cz,3,0.213395
00000205544,2019-07,2300000,cz,10,0.290038
00000205544,2019-08,2500000,cz,2,0.434254
00000205544,2019-09,3600000,cz,11,0.419825
00000205544,2020-01,4700000,cz,11,0.481755
00000205619,2019-08,1200000,cz,12,0.208442
00000205619,2019-09,4200000,cz,30,0.489796
00000205619,2019-10,6100000,cz,19,0.673661
00000205619,2019-11,7600000,cz,15,0.631491
00000205619,2019-12,9400000,cz,18,0.542005
00000205619,2020-02,11700000,cz,23,1.650444
00000205662,2019-04,5400000,cz,54,0.75188
00000205662,2019-06,10000000,cz,46,1.669728
00000205662,2019-07,14600000,cz,46,1.84111
00000205662,2019-11,20400000,cz,58,1.695056
00000205662,2019-12,27900000,cz,75,1.608718
00000205662,2020-01,34700000,cz,68,3.556786
00000205662,2020-02,39700000,cz,50,5.600226
00000205676,2019-03,2600000,cz,26,0.386387
00000205676,2019-04,5500000,cz,29,0.765803
00000205676,2019-07,7500000,cz,20,0.945776
00000205676,2019-08,8100000,cz,6,1.406983
00000205676,2019-09,10400000,cz,23,1.212828
00000205676,2019-11,11500000,cz,11,0.955546
00000205676,2020-01,12900000,cz,14,1.322263
00000205681,2019-12,100000,cz,1,0.005766
00000205681,2020-01,300000,cz,2,0.03075
00000205695,2019-03,300000,cz,3,0.044583
00000205695,2019-04,400000,cz,1,0.055695
00000205695,2019-06,500000,cz,1,0.083486
00000205695,2019-11,600000,cz,1,0.049855
00000205695,2019-12,700000,cz,1,0.040362
00000205836,2019-03,2200000,cz,22,0.326943
00000205836,2019-04,6200000,cz,40,0.863269
00000205836,2019-05,10800000,cz,46,1.772817
00000205836,2019-07,13900000,cz,31,1.752837
00000205836,2019-09,18700000,cz,48,2.180758
00000205836,2019-10,25100000,cz,64,2.771949
00000205836,2019-11,29800000,cz,47,2.476111
00000205836,2020-02,34600000,cz,48,4.880801
00000206096,2019-04,2900000,cz,29,0.403787
00000206096,2019-05,4600000,cz,17,0.755089
00000206096,2019-06,6100000,cz,15,1.018534
00000206096,2019-07,8800000,cz,27,1.10971
00000206096,2019-08,11300000,cz,25,1.962828
00000206096,2019-12,14100000,cz,28,0.813008
00000206096,2020-01,16300000,cz,22,1.670767
